path,old_commit,old_nloc,old_token_count,old_avg_token_count,old_avg_nloc,old_avg_cyclo_comp,old_cumulative_cyclo_comp,current_commit,current_nloc,current_token_count,current_avg_token_count,current_avg_nloc,current_avg_cyclo_comp,current_cumulative_cyclo_comp
vpr/src/place/move_utils.cpp,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,570,4951,211.0,24.0,4.913043478260869,113,dae5b2d29005143be3661175af87f464dca1658c,570,4951,211.0,24.0,4.913043478260869,113
vpr/src/pack/attraction_groups.cpp,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,69,566,140.25,17.0,3.25,13,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,95,790,156.8,18.8,3.4,17
vpr/src/pack/cluster.cpp,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,2737,20617,274.46268656716416,36.67164179104478,8.164179104477611,547,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,2748,20729,276.13432835820896,36.83582089552239,8.208955223880597,550
vpr/src/pack/output_clustering.cpp,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,520,4762,519.7777777777778,55.333333333333336,13.333333333333334,120,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,521,4779,521.6666666666666,55.44444444444444,13.333333333333334,120
vpr/src/pack/pack.cpp,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,395,2927,347.375,46.125,10.0,80,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,405,2989,355.125,47.375,10.375,83
vpr/src/place/move_utils.cpp,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,606,5261,234.72727272727272,26.727272727272727,5.2272727272727275,115,e8a1a8abcbe5c7a6acd564865f850f8573574fb8,570,4951,211.0,24.0,4.913043478260869,113
vpr/src/place/centroid_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,33,243,232.0,28.0,4.0,4,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,33,245,234.0,28.0,4.0,4
vpr/src/place/critical_uniform_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,32,266,259.0,29.0,6.0,6,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,32,268,261.0,29.0,6.0,6
vpr/src/place/feasible_region_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,99,941,930.0,94.0,15.0,15,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,99,945,934.0,94.0,15.0,15
vpr/src/place/median_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,233,2031,657.6666666666666,75.33333333333333,15.0,45,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,233,2033,658.3333333333334,75.33333333333333,15.0,45
vpr/src/place/move_utils.cpp,fb75430498d0072c59fad05d09f7ec852545653b,518,4545,202.27272727272728,22.772727272727273,4.681818181818182,103,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,606,5261,234.72727272727272,26.727272727272727,5.2272727272727275,115
vpr/src/place/uniform_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,34,321,314.0,31.0,7.0,7,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,34,323,316.0,31.0,7.0,7
vpr/src/place/weighted_centroid_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,33,244,233.0,28.0,4.0,4,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,33,246,235.0,28.0,4.0,4
vpr/src/place/weighted_median_move_generator.cpp,fb75430498d0072c59fad05d09f7ec852545653b,141,1289,624.5,67.5,10.5,21,5da8efd01f5d8c676d5ade4d9f01c893537aa25f,141,1291,625.5,67.5,10.5,21
libs/librrgraph/src/base/rr_graph_storage.cpp,6a61e7a00bb0654ef6ac968238b09f53664da8b3,629,4962,61.72727272727273,7.805194805194805,1.7532467532467533,135,dac9b10253fb78ab520acf779fdd7c2a926f8dee,630,4964,61.72727272727273,7.805194805194805,1.7532467532467533,135
libs/librrgraph/src/base/rr_graph_builder.cpp,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,113,902,108.25,13.5,3.875,31,6a61e7a00bb0654ef6ac968238b09f53664da8b3,113,908,109.0,13.5,3.875,31
libs/librrgraph/src/base/rr_graph_storage.cpp,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,570,4503,60.563380281690144,7.633802816901408,1.6619718309859155,118,6a61e7a00bb0654ef6ac968238b09f53664da8b3,629,4962,61.72727272727273,7.805194805194805,1.7532467532467533,135
vpr/src/draw/draw.cpp,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,3377,27065,239.4433962264151,30.30188679245283,6.047169811320755,641,6a61e7a00bb0654ef6ac968238b09f53664da8b3,3377,27071,239.5,30.30188679245283,6.047169811320755,641
libs/librrgraph/src/base/rr_graph_builder.cpp,66315279ec66195a297ff618b21465710587d823,111,888,106.5,13.25,3.875,31,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,113,902,108.25,13.5,3.875,31
libs/librrgraph/src/base/rr_graph_storage.cpp,66315279ec66195a297ff618b21465710587d823,598,4757,60.666666666666664,7.6,1.6666666666666667,125,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,570,4503,60.563380281690144,7.633802816901408,1.6619718309859155,118
libs/librrgraph/src/base/rr_graph_view.cpp,66315279ec66195a297ff618b21465710587d823,18,118,112.0,15.0,1.0,1,6e431d7f824fed79b4b2621c4842e9c5ad16fda9,20,133,127.0,17.0,1.0,1
libs/librrgraph/src/base/rr_graph_storage.cpp,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,619,4888,60.76623376623377,7.675324675324675,1.6883116883116882,130,56165c6db34cdf4a9587bb43ee84f45ee5b6626b,598,4757,60.666666666666664,7.6,1.6666666666666667,125
vpr/src/route/check_rr_graph.cpp,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,463,3627,354.7,44.9,16.7,167,56165c6db34cdf4a9587bb43ee84f45ee5b6626b,463,3621,354.1,44.9,16.7,167
vpr/src/draw/draw.cpp,0f1c3cd2e32ae782b5f91ed5bc8a5b1988fff7ee,3377,27075,239.53773584905662,30.30188679245283,6.047169811320755,641,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,3377,27065,239.4433962264151,30.30188679245283,6.047169811320755,641
vpr/src/route/check_rr_graph.cpp,0f1c3cd2e32ae782b5f91ed5bc8a5b1988fff7ee,463,3631,355.1,44.9,16.7,167,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,463,3627,354.7,44.9,16.7,167
vpr/src/route/route_common.cpp,0f1c3cd2e32ae782b5f91ed5bc8a5b1988fff7ee,1127,9040,159.0,19.85185185185185,4.037037037037037,218,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,1127,9038,158.96296296296296,19.85185185185185,4.037037037037037,218
vpr/src/route/route_tree_timing.cpp,0f1c3cd2e32ae782b5f91ed5bc8a5b1988fff7ee,993,7453,138.94117647058823,18.745098039215687,4.019607843137255,205,b6840e5bb6b477a7c7e11b01584394c3b0d2e618,993,7451,138.90196078431373,18.745098039215687,4.019607843137255,205
libs/librrgraph/src/base/rr_graph_storage.cpp,cd5f9ee0f171d2f50b076c39f3985d2187f8db35,619,4908,61.02597402597402,7.675324675324675,1.6883116883116882,130,c7a979d571b727391e2fdc1cddfefa107eb03408,619,4888,60.76623376623377,7.675324675324675,1.6883116883116882,130
