--b249b97d2--2022-05-18--Seyed Alireza Damghani
1	2	ODIN_II/SRC/include/Shift.hpp
4	2	ODIN_II/SRC/include/netlist_utils.h
21	1	ODIN_II/SRC/multipliers.cpp
99	78	ODIN_II/SRC/netlist_utils.cpp
18	7	ODIN_II/SRC/node_creation_library.cpp
3	2	ODIN_II/SRC/odin_util.cpp
1	2	ODIN_II/SRC/partial_map.cpp

--eca67a151--2021-08-09--Seyed Alireza Damghani
7	0	ODIN_II/SRC/netlist_utils.cpp

--6045ebad2--2021-08-09--Seyed Alireza Damghani
22	4	ODIN_II/SRC/BLIFReader.cpp
8	2	ODIN_II/SRC/Yosys.cpp
1	2	ODIN_II/SRC/enum_str.cpp
22	22	ODIN_II/SRC/include/Yosys.hpp
2	2	ODIN_II/SRC/memories.cpp
1	2	ODIN_II/SRC/netlist_utils.cpp
1	1	ODIN_II/SRC/odin_ii.cpp
1	1	ODIN_II/SRC/odin_util.cpp

--ca76b4a6c--2021-08-06--Seyed Alireza Damghani
2	3	ODIN_II/SRC/VerilogReader.cpp
169	0	ODIN_II/SRC/Yosys.cpp
246	247	ODIN_II/SRC/enum_str.cpp
4	4	ODIN_II/SRC/hard_blocks.cpp
1	1	ODIN_II/SRC/implicit_memory.cpp
1	0	ODIN_II/SRC/include/BLIF.hpp
0	46	ODIN_II/SRC/include/FileTypes.hpp
0	1	ODIN_II/SRC/include/GenericIO.hpp
114	0	ODIN_II/SRC/include/Yosys.hpp
8	6	ODIN_II/SRC/include/config_t.h
0	3	ODIN_II/SRC/include/netlist_cleanup.h
9	5	ODIN_II/SRC/include/odin_globals.h
5	2	ODIN_II/SRC/include/odin_ii.h
27	2	ODIN_II/SRC/include/odin_types.h
2	0	ODIN_II/SRC/include/odin_util.h
22	22	ODIN_II/SRC/memories.cpp
90	90	ODIN_II/SRC/netlist_create_from_ast.cpp
10	11	ODIN_II/SRC/netlist_utils.cpp
159	45	ODIN_II/SRC/odin_ii.cpp
26	1	ODIN_II/SRC/odin_util.cpp
2	2	ODIN_II/SRC/partial_map.cpp

--535ae8f0f--2021-08-05--Seyed Alireza Damghani
44	21	ODIN_II/SRC/BLIFReader.cpp
1	0	ODIN_II/SRC/include/odin_util.h
23	61	ODIN_II/SRC/memories.cpp
46	0	ODIN_II/SRC/odin_util.cpp

--78f3cbbca--2021-08-03--Seyed Alireza Damghani
24	24	ODIN_II/SRC/BLIFElaborate.cpp
8	8	ODIN_II/SRC/BLIFReader.cpp
20	20	ODIN_II/SRC/BLIFWriter.cpp
12	12	ODIN_II/SRC/BlockMemories.cpp
71	71	ODIN_II/SRC/CaseEqual.cpp
9	10	ODIN_II/SRC/Division.cpp
7	7	ODIN_II/SRC/FlipFlop.cpp
6	6	ODIN_II/SRC/GenericReader.cpp
21	21	ODIN_II/SRC/GenericWriter.cpp
3	3	ODIN_II/SRC/Latch.cpp
5	5	ODIN_II/SRC/LogicalOps.cpp
1	1	ODIN_II/SRC/Modulo.cpp
5	5	ODIN_II/SRC/Multiplexer.cpp
14	15	ODIN_II/SRC/Power.cpp
1	1	ODIN_II/SRC/VerilogReader.cpp
477	481	ODIN_II/SRC/include/BLIF.hpp
2	2	ODIN_II/SRC/include/BlockMemories.hpp
18	20	ODIN_II/SRC/include/GenericIO.hpp
32	34	ODIN_II/SRC/include/GenericReader.hpp
37	39	ODIN_II/SRC/include/GenericWriter.hpp
1	1	ODIN_II/SRC/include/Latch.hpp
48	55	ODIN_II/SRC/include/Verilog.hpp
2	2	ODIN_II/SRC/include/odin_types.h
2	2	ODIN_II/SRC/netlist_utils.cpp
1	1	ODIN_II/SRC/node_creation_library.cpp
1	1	ODIN_II/SRC/odin_ii.cpp

--4d5316945--2021-08-03--Seyed Alireza Damghani
1	1	ODIN_II/SRC/include/subtractions.h
6	6	ODIN_II/SRC/partial_map.cpp
50	92	ODIN_II/SRC/subtractions.cpp

--4806a2e93--2021-08-02--Seyed Alireza Damghani
0	37	ODIN_II/SRC/BLIF.cc
39	0	ODIN_II/SRC/BLIF.cpp
0	780	ODIN_II/SRC/BLIFElaborate.cc
788	0	ODIN_II/SRC/BLIFElaborate.cpp
0	2178	ODIN_II/SRC/BLIFReader.cc
2187	0	ODIN_II/SRC/BLIFReader.cpp
0	664	ODIN_II/SRC/BLIFWriter.cc
669	0	ODIN_II/SRC/BLIFWriter.cpp
0	1980	ODIN_II/SRC/BlockMemories.cc
1989	0	ODIN_II/SRC/BlockMemories.cpp
0	261	ODIN_II/SRC/CaseEqual.cc
265	0	ODIN_II/SRC/CaseEqual.cpp
0	725	ODIN_II/SRC/Division.cc
724	0	ODIN_II/SRC/Division.cpp
0	628	ODIN_II/SRC/FlipFlop.cc
639	0	ODIN_II/SRC/FlipFlop.cpp
0	47	ODIN_II/SRC/GenericIO.cc
50	0	ODIN_II/SRC/GenericIO.cpp
0	90	ODIN_II/SRC/GenericReader.cc
94	0	ODIN_II/SRC/GenericReader.cpp
0	110	ODIN_II/SRC/GenericWriter.cc
114	0	ODIN_II/SRC/GenericWriter.cpp
0	268	ODIN_II/SRC/Latch.cc
268	0	ODIN_II/SRC/Latch.cpp
0	197	ODIN_II/SRC/LogicalOps.cc
200	0	ODIN_II/SRC/LogicalOps.cpp
