entity,coupled,degree,average-revs
ODIN_II/SRC/memories.c,ODIN_II/SRC/odin_util.c,45,11
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/netlist_create_from_ast.c,44,23
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/subtractions.c,44,14
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/verilog_preprocessor.c,44,14
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/verilog_preprocessor.c,44,14
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/simulate_blif.c,43,19
ODIN_II/SRC/netlist_create_from_ast.c,ODIN_II/SRC/simulate_blif.c,43,19
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/odin_util.c,43,16
ODIN_II/SRC/simulate_blif.c,ODIN_II/SRC/simulate_blif.h,43,12
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/ast_elaborate.h,42,17
ODIN_II/SRC/multipliers.c,ODIN_II/SRC/parse_making_ast.c,42,14
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/read_blif.c,42,14
ODIN_II/SRC/ast_util.h,ODIN_II/SRC/netlist_create_from_ast.c,42,14
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/verilog_preprocessor.c,41,17
ODIN_II/SRC/ast_util.c,ODIN_II/SRC/netlist_visualizer.c,41,12
ODIN_II/SRC/ace.c,ODIN_II/SRC/simulate_blif.c,41,12
ODIN_II/SRC/odin_ii.cpp,ODIN_II/SRC/simulate_blif.cpp,40,30
ODIN_II/SRC/include/types.h,ODIN_II/SRC/odin_ii.cpp,40,23
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/read_blif.c,40,18
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/memories.c,40,18
ODIN_II/SRC/implicit_memory.c,ODIN_II/SRC/parse_making_ast.c,40,13
ODIN_II/SRC/ast_optimizations.c,ODIN_II/SRC/ast_util.c,40,13
ODIN_II/SRC/activity_estimation.c,ODIN_II/SRC/parse_making_ast.c,40,13
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/string_cache.c,38,13
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/output_blif.c,37,19
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/simulate_blif.c,37,19
ODIN_II/SRC/PARSE_TOOL/verilog_preprocessor.cpp,ODIN_II/SRC/odin_util.cpp,37,16
ODIN_II/SRC/odin_util.c,ODIN_II/SRC/parse_making_ast.c,37,16
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/implicit_memory.c,37,16
ODIN_II/SRC/activity_estimation.c,ODIN_II/SRC/ast_elaborate.c,37,16
ODIN_II/SRC/include/odin_util.h,ODIN_II/SRC/odin_util.cpp,37,14
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/verilog_preprocessor.c,37,14
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/netlist_utils.c,36,19
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/read_netlist.c,36,17
ODIN_II/SRC/netlist_create_from_ast.cpp,ODIN_II/SRC/simulate_blif.cpp,36,17
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/partial_map.c,36,17
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/string_cache.c,36,17
ODIN_II/SRC/netlist_utils.cpp,ODIN_II/SRC/simulate_blif.cpp,36,17
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/parse_making_ast.c,35,23
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/subtractions.c,35,17
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/multipliers.c,34,18
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/ast_util.h,34,18
ODIN_II/SRC/parse_making_ast.c,ODIN_II/SRC/read_xml_config_file.c,34,15
ODIN_II/SRC/odin_util.cpp,ODIN_II/SRC/odin_util.h,33,15
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/netlist_visualizer.c,32,16
ODIN_II/SRC/ast_elaborate.c,ODIN_II/SRC/simulate_blif.c,31,22
ODIN_II/SRC/output_blif.cpp,ODIN_II/SRC/simulate_blif.cpp,31,16
ODIN_II/SRC/odin_ii.c,ODIN_II/SRC/simulate_blif.c,31,16
ODIN_II/SRC/lib_ast/ast_util.cpp,ODIN_II/SRC/odin_util.cpp,31,16
